r,xc,basis,e
0.9,PBE_ref,6-31G,-2.0532833030668485
0.95,PBE_ref,6-31G,-2.041801121800096
1.0,PBE_ref,6-31G,-2.031500936980523
0.45,B3LYP_ref,6-31G,-2.058855534304344
0.5,B3LYP_ref,6-31G,-2.0983677311544566
0.55,B3LYP_ref,6-31G,-2.11778611722908
0.6,B3LYP_ref,6-31G,-2.12470919142698
0.65,B3LYP_ref,6-31G,-2.1236960608170086
0.7,B3LYP_ref,6-31G,-2.117110692528214
0.75,B3LYP_ref,6-31G,-2.1074859324095065
0.8,B3LYP_ref,6-31G,-2.0958348981882016
0.85,B3LYP_ref,6-31G,-2.083508439266031
0.9,B3LYP_ref,6-31G,-2.0715196991356204
0.95,B3LYP_ref,6-31G,-2.060037517868868
1.0,B3LYP_ref,6-31G,-2.049568480094742
0.45,O3P86,6-31G,-2.0809756062997757
0.5,O3P86,6-31G,-2.118968100793604
0.55,O3P86,6-31G,-2.137373356258256
0.6,O3P86,6-31G,-2.1434521528007378
0.65,O3P86,6-31G,-2.141594744535348
0.7,O3P86,6-31G,-2.134502817382895
0.75,O3P86,6-31G,-2.1240337667261144
0.8,O3P86,6-31G,-2.111876173641151
0.85,O3P86,6-31G,-2.0988742900181148
0.9,O3P86,6-31G,-2.086041272232286
0.95,O3P86,6-31G,-2.0738836791473227
1.0,O3P86,6-31G,-2.0629080696268836
0.5,DM21,6-31G,-2.014405016092987
0.55,DM21,6-31G,-2.048043931004023
0.6,DM21,6-31G,-2.0625313353150325
0.65,DM21,6-31G,-2.0655298712102947
0.7,DM21,6-31G,-2.061232830051037
0.75,DM21,6-31G,-2.051651432364782
0.8,DM21,6-31G,-2.0380141400579976
0.85,DM21,6-31G,-2.0215289003162
0.9,DM21,6-31G,-2.0077192180839374
0.95,DM21,6-31G,-1.9918664802940877
1.0,DM21,6-31G,
